STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc
-2,6151.846,36.2044808,1.79359435,34.72,365.302,3.593519213,0.177760188,64.93615222,45.1064596,5.1733014
-2,3913.493,37.39797282,1.104581069,26.963,299.647,2.601171544,0.13785919,41.30909278,30.01611048,3.579812137
-2,4891.866,37.39797282,1.380726265,26.963,299.647,4.249937109,0.172323979,51.63636333,44.19197319,4.965863275
-2,1453.778,35.18315812,0.436158528,8.642,97.394,6.553167271,0.157560368,15.34543444,29.56681642,3.401150714
-2,1817.223,35.18315812,0.54519831,8.642,97.394,11.67664876,0.196950514,19.18179833,43.41498607,5.15902784
-2,4807.931,36.93208474,1.374154293,20.009,334.232,2.246719755,0.151841783,50.75038278,31.82198796,3.58311642
-2,6009.913,36.93208474,1.717692651,20.009,334.232,3.733092265,0.189802205,63.43797056,44.11270567,5.368516703
-2,3324.077,37.5607567,0.934152624,24.095,230.308,3.004086707,0.152350242,35.08747944,29.40744986,3.584324077
1,4155.096,37.5607567,1.16769071,24.095,230.308,5.260353641,0.190437791,43.85934667,43.64134185,5.286631074
-2,6236.59,36.43880958,1.80660875,33.197,451.522,1.55956935,0.145797264,65.83067222,29.71438401,3.455144777
-2,7795.738,36.43880958,2.258261082,33.197,451.522,2.925065093,0.182246592,82.28834556,44.19548333,5.44623
-2,8674.548,34.85112824,2.627308726,43.516,661.485,1.180366147,0.138422902,91.56467333,30.52509434,3.540688177
-2,10843.185,34.85112824,3.284135907,43.516,661.485,1.919907364,0.173028628,114.4558417,44.43221503,4.945614644
-2,6898.311,35.19808254,2.068734992,41.261,519.976,1.568470318,0.140036281,72.815505,30.17975278,3.784290718
-2,8622.889,35.19808254,2.585918815,41.261,519.976,2.711903305,0.175045356,91.01938389,44.12125626,5.594486398
-2,6497.951,36.446041,1.881946047,33.15,472.064,1.502942955,0.145297,68.58948278,29.15883725,3.535328897
-2,8122.438,36.446041,2.352432341,33.15,472.064,2.798659864,0.181621233,85.73684556,46.08585987,5.206548586
-2,4641.743,37.43951502,1.308675502,26.693,330.694,2.197154937,0.148161672,48.99617611,31.02184294,3.470206153
-2,5802.179,37.43951502,1.635844448,26.693,330.694,3.651935649,0.185202099,61.24522278,43.78054245,5.108744658
-2,922.67,36.06308346,0.270062721,14.361,61.023,10.70113003,0.159600387,9.739294444,30.12281736,3.45988408
-2,1153.338,36.06308346,0.337578548,14.361,61.023,18.27408135,0.199500571,12.17412333,43.59839051,5.102732406
-2,383.538,35.04791518,0.115512054,7.763,24.639,27.88978829,0.164310916,4.048456667,30.23953549,3.733873471
-2,479.422,35.04791518,0.144389917,7.763,24.639,47.97500638,0.205388431,5.060565556,44.75183516,5.425043776
